,Tournois,Player 1,Player 2,Score,Odds Player 1,Odds Player 2,Rank Player 1,Rank Player 2
6058,Santiago challenger,Gaston,Delbonis,2,1.91,1.82,157.0,167.0
6059,Santiago challenger,Dellien,Pellegrino,2,1.18,4.39,106.0,204.0
6060,Santiago challenger,Agamenone,Torres,2,2.09,1.69,274.0,
6061,Santiago challenger,Vavassori,Tirante,2,1.72,2.04,107.0,
6062,Antalya challenger,Diez,Gaubas,2,1.16,4.89,310.0,
6063,Antalya challenger,Kopriva,Travaglia,2,2.08,1.71,254.0,228.0
6064,Antalya challenger,Ionel,Roca,2,1.52,2.48,,
6065,Antalya challenger,Geerts,Tu,2,1.62,2.21,301.0,332.0
6066,Antalya challenger,Michalski,Domingues,2,1.62,2.22,339.0,418.0
6067,Antalya challenger,Mager,Neumayer,2,1.56,2.32,241.0,433.0
6068,Antalya challenger,Cobolli,Basic,2,1.42,2.72,174.0,358.0
6069,Antalya challenger,Kolar,Erhard,2,1.53,2.40,220.0,
6070,Antalya challenger,Dzumhur,Ferrari,2,1.58,2.30,192.0,422.0
6071,Antalya challenger,Marozsan,Zekic,2,1.30,3.35,165.0,331.0
6072,Antalya challenger,Ofner,Erel,2,1.19,4.45,71.0,
6073,Antalya challenger,Giannessi,Gerch,2,1.53,2.41,209.0,356.0
6074,Lugano challenger,Stricker,Collignon,2,1.19,4.37,97.0,265.0
6075,Lugano challenger,Berankis,Gombos,2,1.41,2.76,129.0,171.0
6076,Lugano challenger,Celikbilek,Brouwer,2,3.02,1.36,290.0,221.0
6077,Lugano challenger,Grenier,Hemery,2,2.12,1.67,217.0,292.0
6078,Lugano challenger,Ilkel,Klein,2,1.76,2.00,198.0,170.0
6079,Lugano challenger,Sachko,Paul,2,1.45,2.62,259.0,23.0
6080,Lugano challenger,Onclin,Added,2,1.52,2.42,242.0,334.0
6081,Lugano challenger,Andreev,Bellier,2,1.97,1.78,194.0,304.0
6082,Futures 2023,Marie,Brumm,2,1.10,5.58,,
6083,Futures 2023,Aguilar,Angele,2,3.40,1.27,,
6084,Futures 2023,Juarez,Egea,2,1.80,1.90,395.0,
6085,Futures 2023,Galarza,Atmane,2,4.33,1.18,,335.0
6086,Futures 2023,Ambrogi,Carnevalle,2,1.11,5.37,,
6087,Futures 2023,Gima,O'Hoisin,2,1.42,2.69,,
6088,Futures 2023,Rodrigues,Whitehouse,2,2.18,1.61,,
6089,Futures 2023,Voisin,Ribeiro,2,2.47,1.48,,405.0
6090,Futures 2023,Friberg,Darras,2,1.11,5.42,,
6091,Futures 2023,Moeller,Vylegzhanin,2,1.86,1.84,,
6092,Futures 2023,Glinka,Welte,2,1.40,2.72,,
6093,Futures 2023,Dodig,Piraino,2,4.57,1.17,,
6094,Futures 2023,Pennaforti,Zund,2,1.13,4.92,,
6095,Futures 2023,Fuele,Badi,2,1.03,10.14,,
6096,Futures 2023,Prizmic,Mikrut,2,1.12,5.12,193.0,
6097,Futures 2023,Landaluce,Markovski,2,1.03,9.07,440.0,
6098,Futures 2023,Galoppini,Martinovic,2,1.03,9.58,,
6099,Futures 2023,Capecchi,Kriznik,2,1.16,4.42,,
6100,Futures 2023,Catani,Calvano,2,3.48,1.27,,
6101,Futures 2023,Hamza,Nusdeo,2,1.18,4.46,,
6102,Futures 2023,Kielan,Roncadelli,2,1.27,3.38,,
6103,Futures 2023,Bittoun,Massard,2,1.15,4.62,,
6104,Futures 2023,Potenza,Sorrentino,2,1.26,3.55,,
6105,Futures 2023,Broska,Rosenkranz,2,1.90,1.80,,413.0
6106,Futures 2023,Guerrieri,Little,2,2.51,1.47,,
6107,Futures 2023,Gueymard,Atlangeriev,2,1.04,8.31,,
6108,Futures 2023,Miceli,Rahmani,2,1.05,7.96,,
6109,Futures 2023,Tomescu,Klok,2,1.74,1.93,,
6110,Futures 2023,Zanellato,Radulov,2,1.39,2.73,,
6111,Futures 2023,Castagnola,Woerner,2,1.41,2.67,,
6112,Futures 2023,Napolitano,Pieczkowski,2,1.42,2.63,,
6113,Futures 2023,Binda,Kimhi,2,1.40,2.70,,
6114,Futures 2023,Ghibaudo,Haliak,2,1.20,4.06,,
6115,Futures 2023,Kawachi,Noce,2,1.84,1.86,,
6116,Futures 2023,Takahashi,Maulenov,2,1.04,8.57,,
6117,Futures 2023,Martinez,Schwaerzler,2,1.13,4.88,146.0,
6118,Futures 2023,Mu,Isomura,2,1.79,1.91,,
6119,Futures 2023,Gea,Savelev,2,1.04,8.36,,
6120,Futures 2023,Palosi,Gentzsch,2,1.65,2.06,,
6121,Futures 2023,Milev,Metreveli,2,1.49,2.47,,
6122,Futures 2023,Bax,Huang,2,2.11,1.65,,
6123,Futures 2023,Habib,Negritu,2,1.39,2.73,369.0,
6124,Futures 2023,Catini,Khairutdinov,2,1.03,9.44,,
6125,UTR Pro Tennis Series 3,Mridha,Stringfellow,2,1.05,7.50,,
6126,UTR Pro Tennis Series 3,Arora,Demulling,2,1.40,2.73,,
6127,UTR Pro Tennis Series 3,Strode,Belday,2,1.06,7.00,,
6128,UTR Pro Tennis Series 3,Papa,Tsoi,2,1.28,3.30,,
6129,UTR Pro Tennis Series 3,Rajski,Pane,2,1.07,7.00,,
6130,UTR Pro Tennis Series 3,Boyd,Ventre,2,1.35,2.90,,
6131,UTR Pro Tennis Series 5,Ouahab,Hodzic,2,1.70,2.05,,
6132,UTR Pro Tennis Series 5,Urribarrens,Santos,2,1.35,2.90,,
6133,UTR Pro Tennis Series 5,Cekirge,Mas,2,1.09,4.50,,
6134,UTR Pro Tennis Series 5,Perez,Muller,2,2.10,1.66,,128.0
6135,UTR Pro Tennis Series 5,Wojcik,Quang,2,1.09,6.00,,
6136,UTR Pro Tennis Series 5,Sheyngezikht,Bueno,2,1.27,3.40,,377.0
6137,UTR Pro Tennis Series 5,Gulin,Makhlouf,2,1.35,2.90,,
6138,Futures 2023,Davis,Carnevale-Miino,2,1.19,4.17,,
6139,Futures 2023,Boyer,Martinez,2,1.12,5.50,,146.0
6140,Futures 2023,Van,Nakamura,2,1.79,1.88,,
6141,Futures 2023,Rogers,Duarte,2,1.42,2.53,,
6142,Futures 2023,Ross,Tyler,2,1.35,2.91,,
6143,Futures 2023,Parizzia,Corthey,2,1.10,6.50,,
6144,Futures 2023,Morandais,Thompkins,2,1.40,2.66,,
6145,Futures 2023,Jones,Liokossis,2,1.12,4.99,,
6146,Futures 2023,Visser,Wojcik,2,1.81,1.83,,
6147,Futures 2023,La,Yamacita,2,1.96,1.72,,
6148,Futures 2023,Stewart,Pinheiro,2,1.15,4.75,,
6149,Futures 2023,Tanner,Rousseau,2,2.50,1.45,,
6150,Futures 2023,Visker,Katticaren,2,1.02,15.00,,
6151,Futures 2023,Botelho,Gabor,2,1.06,7.00,,
6152,Futures 2023,Portugal,Henriques,2,1.08,6.50,,
6153,Futures 2023,Cervantes,Mazon-Hernandez,2,1.23,3.69,,
6154,Futures 2023,Martinez,Brun,2,1.19,4.01,146.0,
6155,Futures 2023,Augunas,Sharma,2,1.25,3.52,,
6156,Futures 2023,Bocchi,Vilicich,2,1.19,4.03,,
6157,Futures 2023,Hidalgo,Saraiva,2,1.10,5.56,,
6158,Futures 2023,Rodriguez,Bruna,2,1.31,2.98,,
6159,Futures 2023,Guise,Pinto,2,1.04,8.38,,
6160,Futures 2023,Petrovic,Markovic,1,2.76,1.38,,
6161,Futures 2023,Zanotti,Kupcic,2,2.44,1.48,,
6162,Futures 2023,Heger,Ingarao,2,1.92,1.76,,
6163,Futures 2023,Falcao,Yang,2,1.31,3.16,,
6164,Futures 2023,Gomez,Tenil,2,1.07,6.70,219.0,
6165,Futures 2023,Pecak,Hornitschek,2,5.30,1.11,,
6166,Futures 2023,Massara,Sobbe,2,1.32,3.20,,
6167,Futures 2023,Arutiunian,Orlov,2,1.28,3.37,,
6168,Futures 2023,Stewart,Trongcharoenchaikul,2,1.30,3.33,,
6169,Futures 2023,Bulitski,Wallner,2,1.19,4.17,,
6170,Futures 2023,Alkaya,Moghini,2,1.40,2.74,,
6171,Futures 2023,Speziali,Pavlenko,2,1.16,4.40,,
6172,Futures 2023,Goodger,Ortenzi,2,1.16,4.50,,
6173,Futures 2023,Mascarini,Basic,2,2.78,1.36,,358.0
6174,Futures 2023,Marquiselli,Jeran,2,1.53,2.33,,
6175,Futures 2023,Villoslada,Vatteroni,2,1.57,2.23,,
6176,Futures 2023,Steiner,Campana,2,1.38,2.73,,
6177,Futures 2023,Perruzza,Vanta,2,1.91,1.80,,
6178,Futures 2023,Cubelic,Fufygin,1,1.70,2.00,,
6179,Futures 2023,Wiedenmann,Bosio,2,1.29,3.35,,
6180,Futures 2023,Sheehy,Nad,2,1.27,3.50,,
6181,Futures 2023,Kasemi,Suresh,2,4.50,1.16,,
6182,Futures 2023,Al,Pogosian,2,1.27,3.40,,
6183,Futures 2023,Nadaf,Esmail,2,1.53,2.37,,
6184,Futures 2023,Moghimi,Rehman,2,1.40,2.74,,
6185,Futures 2023,Kazakov,Cazacu,2,3.73,1.24,,
6186,Futures 2023,Liaonenka,Dubrouski,2,1.19,4.11,,
6187,Futures 2023,Zielinski,Fossati,2,1.19,4.17,,
6188,Futures 2023,Kawakami,Ujvary,2,1.04,7.67,,
6189,Futures 2023,De,Spiridon,2,1.53,2.37,,
6190,Futures 2023,Gimenez,De,2,1.18,4.04,,
6191,Futures 2023,Orynbasar,Mossur,2,1.82,1.82,,
6192,Futures 2023,Baum,Singh,2,1.06,7.50,,
6193,Futures 2023,Ivanov,Aggarwal,2,2.00,1.72,,
6194,Futures 2023,Kellovsky,Moazam,2,1.02,11.33,,
6195,Futures 2023,Hans,Khan,2,2.01,1.72,,
6196,Futures 2023,Kudriashov,Bar,2,2.43,1.53,,
6197,Futures 2023,Lobanov,Sidorov,2,1.09,5.83,,
6198,Futures 2023,De,Denisov,2,1.44,2.59,,
6199,Indian Wells,Daniel,Popyrin,2,1.76,1.99,100.0,95.0
6200,Indian Wells,Tabilo,Svajda,2,1.77,1.99,104.0,224.0
6201,Indian Wells,Garin,Misolic,2,1.42,2.74,30.0,155.0
6202,Indian Wells,Wu,Passaro,1,2.03,1.75,51.0,218.0
6203,Indian Wells,Kokkinakis,Arnaldi,2,1.16,4.84,48.0,50.0
